Samples,Factors,L-alanine,L-arginine,L-asparagine,L-aspartate,L-cysteine,L-glutamate,L-glutamine,glycine,L-histidine,L-leucine/L-isoleucine,L-lysine,L-methionine,L-phenylalanine,L-proline,L-serine,L-threonine,L-tryptophan,L-tyrosine,L-valine,L-cystine,AMP,dAMP,Adenosine,Adenine,GMP,Cytosine,dTMP,Uracil,IMP,Hypoxanthine,Allantoate,"3',5'-Cyclic AMP",Pyridoxal,Nicotinamide,NAD+,Glutathione,Glutathione disulfide,Cys-Gly,gamma-L-Glutamyl-D-alanine,gamma-Glutamyl-gamma-aminobutyrate,S-Adenosyl-L-homocysteine,Ornithine,Putrescine,Spermidine,Spermine,N-Glycoloyl-neuraminate,Homocarnosine,Creatine,Creatinine,Guanidinoacetate,Pantothenol,Pantetheine,Hypotaurine,L-Methionine S-oxide,5-Hydroxyindoleacetate,Indole,Indole-3-acetaldehyde,Indolepyruvate,6-Hydroxykynurenic acid,kynurenine,N-formyl kynurenine,Picolinic acid,2-Aminomuconate,8-Methoxykynurenate,L-Adrenaline,Ectoine,Ethanolamine phosphate,N-Methylethanolamine phosphate,Acetylcholine,Choline,acyl-C2 (acetyl-carnitine),acyl-C3 (propionyl-carnitine),acyl-C4 (butanoyl-l-carnitine),acyl-C4-DC,acyl-C5 (isovalerylcarnitine),acyl-C5-OH,acyl-C6 (hexanoyl-l-carnitine),acyl-C8 (L-octanoylcarnitine,acyl-C8:1 (octenoyl-l-carnitine),acyl-C10:1 (O-Decenoyl-L-carnitine),Tryptophan 13C11,Indole-Pyruvate 13C11,L-Formylkynurenine 13C11,Kynurenine 13C10
MA0-1,Growth condition:Attached | time (h):0 | treatment:none | Sample source:Breast cancer cells,6830986,2511757,209355.1,7449806,219048.1,14181840,19284010,2820082,2727932,68393240,1809147,20012320,28012290,9198369,2264009,9722377,18065400,33385800,12522550,23033.34,7646136,69238.63,387584.1,38875.61,692803,40309.96,27616.1,15144.98,1558.804,9247.591,68062.15,181867.9,119323.7,2010769,624752.6,108554500,10833050,1266743,348798.7,37400.89,74576.34,80131.27,18060.61,51919.88,49727.21,0,0,61123820,914282.9,64930.86,3945234,11549.12,386670.5,485767,765944,386031.4,48406.06,684634.9,3389.379,2422862,275631.8,943965.3,27998.13,0,40883.43,61550.86,308975.4,914505.2,1605650,21433870,4750652,1842895,5385721,228006.1,837436.2,103192.6,5949680,9798811,157935.1,214526.3,17180,1813,0,2245
MAD-24-1,Growth condition:Attached | time (h):24 | treatment:DMSO | Sample source:Breast cancer cells,401731,907008.7,66731.84,239829.8,2121466,1268353,935418,820583.4,357545.5,9171060,365029.1,1739516,4284036,1361494,308898.2,395787.4,1699217,4424386,1481299,18144.15,3041684,61455.75,14354500,1407597,809528.6,22526.87,10606.6,70848.99,53694.05,304830.5,79143.45,59267.74,44076.98,1586218,117302.5,41357900,1481505,543505.2,11777.23,3140.812,69575.24,160484.6,119234.2,98991.41,33687.32,0,18636.95,7251820,101558.3,24533.86,2973265,5704.725,22952.16,201030.4,25529.2,63798.57,2019.064,93302.12,8913.89,82031.12,8298.144,314183.7,14258.94,3138.886,37556.68,68887.52,60147.67,159586.4,25016.99,50880920,176931.3,24362.5,34699.52,10894.16,49466.57,22064.52,52878.19,26103.1,39279.52,8772.862,8.85E+05,1.38E+03,1.32E+04,371812.41
MAD-24-2,Growth condition:Attached | time (h):24 | treatment:DMSO | Sample source:Breast cancer cells,364664,833861.4,75862.06,225600.7,1867950,1394830,1171483,904876.1,259918,17265170,370880.9,1781915,7571712,1242460,147012.9,379558,2520210,7761658,1661613,27869.42,4332572,110484.1,14171810,1488786,1254888,19408.89,27203.12,87284,76160.57,258928.6,65111.64,118306.3,37211.07,1563431,175531.2,51419650,1899704,646084.9,10979.18,11312.85,70132.09,146334.3,409654.6,366242.1,247546.1,0,8684.77,9132315,136107.2,41558.87,5470790,8477.005,35700.89,141052.8,39324.22,75603.79,3355.985,181288.1,11324.2,109464.7,11223.92,478083.5,14963.43,8213.408,63843.3,76326.45,74110.21,153484.1,57103.26,61929660,229611.3,41760.61,57128.57,14157.48,123680.2,51463.55,69429.32,193853.2,38969.55,14447,1.50E+06,1.03E+03,2.37E+04,589529.5
MAD-24-3,Growth condition:Attached | time (h):24 | treatment:DMSO | Sample source:Breast cancer cells,288676,734319,34347.45,270272.2,2206022,1374099,1381018,868690.7,270174.1,5038430,206384,907834.7,2222270,822954.7,171827.1,403763.4,723105.2,2252546,1246484,14456,2841623,29312.9,5643770,551236.9,583685.2,18728.27,4850.2,54295.91,40229.45,141994.9,27449.92,26413.03,29655.92,1171752,102151.2,25081690,654290.6,326867.7,6516.121,2254.233,30949.65,78762.75,78155.75,25619.25,4666.989,0,4090.713,4776290,105996.9,24160.96,1590373,2169.143,35134.98,113525.2,15759.35,87952.97,6239.492,33711.6,3647.57,43084.13,4570.79,179427.6,5134.163,2695.026,19805.96,48088.44,72527.78,214079.2,17355.66,33844240,84505.21,11480.93,39864.03,6560.261,86204.34,12712.92,48776.88,30776.8,28522.54,9386.521,5.55E+05,7.48E+02,1.26E+04,200811.7
MS610-24-1,Growth condition:Suspension | time (h):24 | treatment:10µM 68c091 | Sample source:Breast cancer cells,434818.9,883603.7,172583.1,226954.7,1864231,1318640,1953788,728882.7,263249.2,16548200,297867,2265098,8265080,1598990,166458.8,605827.4,798038.1,7400270,1556667,13369.79,6025020,70345.05,19676100,1998834,1306547,26762.7,55547.66,147249.7,327313,550830.7,11436.48,322177.9,44665.61,3786955,154955.3,48981120,1895311,629495.3,6159.903,10464.31,75651.22,33157.67,384467.9,243017.2,86395.38,0,4495.289,10753930,163301.6,47560.17,5419014,8593.845,54931.38,114436.6,2290.079,87260.04,3075.494,173790.2,3827.12,11683.27,2686.018,795140.6,8559.839,5116.118,65817.76,87337.38,76716.21,183809.8,60056.53,72295980,271517.7,26337.12,54589.5,21596.96,125498.6,52073.02,58023.46,44242.78,46308.95,15941.64,2.64E+06,5.11E+02,3.80E+04,143951.06
MS610-24-2,Growth condition:Suspension | time (h):24 | treatment:10µM 68c091 | Sample source:Breast cancer cells,197810.6,428308.9,23201.07,237104.9,2031496,713684.4,920443.1,839896.8,331918.1,2113908,199338.5,390753.1,1038676,931459,258007,281404.9,327303.9,1294287,1135506,15122.32,1944964,10397.01,2697097,277176.7,303728.2,18636.85,7051.461,31167.86,31856.2,242450.8,7047.766,35257.86,26185.86,2062215,45031.86,11303840,250318.1,146332.5,1821.447,1395.161,10336.34,146559.9,37893,20362.56,37364.31,0,4406.416,2667924,57328.78,11648.45,756305.2,0,28455.38,37532.16,0,75461.7,2162.934,15418.14,1177.684,10094.17,911.2212,94062.77,1840.515,11166.01,9664.222,29292.41,51997.73,92967.45,16092.83,14092430,41328.53,4106.129,43308.8,4005.814,96918.66,9035.796,48298.92,35591.89,39135.51,10574.28,2.76E+05,5.20E+02,1.24E+03,9645.37
MS610-24-3,Growth condition:Suspension | time (h):24 | treatment:10µM 68c091 | Sample source:Breast cancer cells,446045.1,1052590,70444.51,313381,3082305,934136.2,966120.6,920129.6,603374.5,4435358,294649.7,646429.3,1631956,929616.5,674649.5,473987.7,1185377,1936113,1272311,15211.38,1736992,7088.391,5452544,570290.8,181044.8,14337.25,19544.3,236458.4,17914.46,266694.4,11467.8,11770.47,28327.44,1898460,42070.79,9724789,325173.2,114464.2,5837.586,22290.06,15552.73,144570.7,15837.53,8668.143,90886.98,0,12303.13,2562887,74410.28,5017.609,655222.1,22698.36,34722.57,57786.36,1067.304,70740.66,2756.06,19418.45,1824.454,0,1485.103,207710.5,3252.803,3397.761,11013.99,33782.12,53739.78,87419.31,13203.77,16629610,53534.27,11829.8,53783.82,4775.525,132472.7,5649.267,43644.22,38173.53,38620.02,13504.55,2.68E+05,2.39E+03,2.25E+03,9897.71
MSA10-24-1,Growth condition:Suspension | time (h):24 | treatment:10µM AT0174 | Sample source:Breast cancer cells,533036.7,884988.1,189298.9,320159.9,1602323,1786700,2976882,849323.5,355096.9,25772630,295734.3,4105051,11961990,2594963,165643.6,846696,1670925,12309920,2941602,18423.32,6010606,130676.3,44095630,4263440,1493857,35183.8,24941.07,234532,412237.2,1042753,29713.95,1033441,91618.28,7486374,225040.2,94324950,2404126,1393054,33140.29,19352.18,126425.7,47253.3,697822.2,638146.2,333171.6,0,3231.093,13125120,162959.8,52580.42,8143100,12576.91,32404.78,260358.4,7537.382,86026.2,7365.838,323361.1,10241.09,24771.13,3633.482,496152.9,27324.25,5555.392,96425.31,213128.8,108425.2,334843,125187.3,81551260,453253.9,48854.22,77001.37,37475.64,77511.73,106548.1,63365.27,58805.83,36817.35,13022.23,4.09E+06,7.40E+02,2.80E+04,224910.3
MSA10-24-2,Growth condition:Suspension | time (h):24 | treatment:10µM AT0174 | Sample source:Breast cancer cells,549591.2,789312.5,232727.6,285301.6,1864679,1702792,2759521,828706,322918.5,26694730,292085.8,4212350,11611980,2242336,201790.8,783180,1552012,10861180,2786161,17200.54,6471448,146772.4,31567300,3116965,2004766,35892.21,29865.74,214334.6,347711.5,677730.2,34381.25,769959.2,78122.49,9326592,239654.5,89225880,2720434,1316541,17027.68,16108.95,145415.9,45036.2,628946.7,805775.6,421788.9,0,0,12921860,149465.9,43487.74,9650840,9064.648,46691.96,170603.7,6863.221,89656.1,4355.444,270483,11742.87,16341.74,5680.844,905606.8,32722.8,7210.958,119038.1,208997.7,113010.4,233252.2,111572.8,84636920,486555.6,45069,96057.45,44570.69,101728.9,109842.4,87341.6,56229.86,51013.34,13147.42,4.09E+06,5.68E+02,2.92E+04,168235.7
MSA10-24-3,Growth condition:Suspension | time (h):24 | treatment:10µM AT0174 | Sample source:Breast cancer cells,1123812,1002522,175195.2,482823.9,2296436,2097986,3441640,1307813,760520,22587760,505071.7,3525711,11149130,4317998,752157.3,1378874,3178209,10217480,2899347,15532.83,5238592,97943.32,28513050,2770929,1309537,29723.89,24080.65,181776,301807.1,831129.1,235471.2,528863.4,66625.15,7382422,232592.6,78410560,2257600,1049415,31079.18,16879.03,88319.15,657381.8,510991.9,270518.8,156790.6,0,1827.496,15726620,178072.7,62588.61,6606242,14687.39,67655.37,149725.3,6154.022,95498.28,8752.356,200924,11552.1,18459.98,8455.433,552071.1,22099.43,3430.097,71342.25,147521.4,110365.9,247094.8,83820.18,76568540,622126.3,35635.79,60210.83,29128.95,145121.8,74736.89,44641.78,40076.14,39268.77,15269.91,2.61E+06,1.36E+03,2.47E+04,165681.84
MSA1-24-1,Growth condition:Suspension | time (h):24 | treatment:1µM AT0174 | Sample source:Breast cancer cells,346256.8,463425.2,75818.76,231816.2,2378835,1054994,1712763,792934.4,345827.4,6839722,260523.1,1368606,3416822,1526443,230907.5,522114.9,613363,3522268,1565065,12202.72,3499827,26067.54,10490350,1023061,550777.9,18112.44,6853.076,84828.34,111980.2,645121.9,42464.62,204320,32852.36,3277791,89113.55,28829400,1104451,375999.7,14399.8,2745.701,50640.09,168865.7,159043.8,11456.83,7282.947,3411.576,5120.467,5779228,87206.59,28218.84,2180877,2824.918,30465.63,113937.5,3319.306,76327.18,2653.339,56951.14,41461.61,10595.41,0,293928.3,6102.583,4805.879,23753.81,43371.68,63582.36,333063.9,38642.22,33616280,149733.5,16941.7,64471.83,11105.96,111168.2,21981.02,59503.91,38054.1,27468.62,10942.83,9.66E+05,6.26E+02,9.78E+03,158286.86
MSA1-24-2,Growth condition:Suspension | time (h):24 | treatment:1µM AT0174 | Sample source:Breast cancer cells,942942.4,798863.2,82701.38,556674.9,2981461,1145653,1579721,901453.9,744372.2,6134666,393102,748497.2,2484762,2198692,1719112,801179.2,1231461,2896893,1636794,16875.24,2025102,20109.78,4561149,474786.8,284489.9,17869.28,3485.841,61733.09,70657.86,544451.2,111838.8,91997.5,17939.66,2073714,52440.78,16465190,279668.3,187744.8,4783.228,5927,15876.45,719824.8,42839.25,0,1492.616,0,15715.62,3592301,92100.16,23921.76,1069496,6549.305,29362.47,46781.59,1393.529,91784.49,6784.373,31857.15,0,10437.99,6755.565,270993.8,4075.871,6133.278,13735.16,36439,71452.95,213586.6,19909.66,23196350,114468.9,9860.763,46081.47,5154.048,88225.12,12348.7,37876.08,36806.89,45647.85,16768.56,3.78E+05,1.06E+03,5.47E+03,78917.11
MSA1-24-3,Growth condition:Suspension | time (h):24 | treatment:1µM AT0174 | Sample source:Breast cancer cells,421998.7,742925.5,93412.59,347734.3,2045351,1634492,2585556,806889.9,319199.5,10745110,266094.9,1827003,4512368,2078316,217247.5,709870.2,564300.2,4639478,1766551,17347.08,4552716,60526.25,14803060,1480573,767450.8,22900.46,8981.615,97704.41,146638.5,629931.3,25225.22,242996.5,45329.74,4381425,123524.3,48505550,1443549,656123.4,28559.69,7878.471,75456.85,74732.2,247771.1,58550.43,64224.16,2698.427,0,8879653,107190.2,37242.38,3071115,7115.841,45196.42,191307.2,4399.664,91296.22,4516.636,82413.95,11505.99,17183.72,1663.311,300854.6,16474.62,3455.596,42506.33,57011.9,86382.96,284746,43954.98,50252480,227331.9,20933.96,46562.86,19239.87,96901.12,32435.63,43989.12,33631.46,44252.18,10824.95,1.48E+06,9.68E+02,2.53E+04,263219.56
MSD-24-1,Growth condition:Suspension | time (h):24 | treatment:DMSO | Sample source:Breast cancer cells,851809.7,671490.2,63648.95,379033.3,2063913,1447197,1850591,875993.1,482314.4,16336890,513371.8,2605588,6429354,2715347,613842.3,788541.2,2515095,6808618,3230301,17407.98,3644575,72224.27,20017950,1862433,854744.4,24107.38,24391.5,127573.9,165616.6,1304785,217107.1,340676.2,66236.74,5409416,123753.4,52709940,1570470,684007.2,20382.4,6455.17,77981.01,697502.8,239031.4,101233.4,77653.77,0,8065.742,7938730,116677,31404.12,3298687,8849.046,30764.09,301935.2,17313.22,81584.3,13356.57,124532.6,14334.2,48220.46,9857.417,432302.2,11862.41,9919.315,35975.88,64315.73,67624.64,477255.8,35672.46,40930440,202475.8,26250.44,47705.62,13950.09,130249.4,37445.5,60525.56,34648.94,26077.73,8987.417,1.22E+06,6.92E+02,2.81E+04,862954.56
MSD-24-2,Growth condition:Suspension | time (h):24 | treatment:DMSO | Sample source:Breast cancer cells,935495.7,732003.9,99964.12,340633.5,1924599,1471159,1804405,844500.9,437601.1,22489350,547287.6,2750687,10440160,2801416,547187.3,882748.8,3011516,8963059,2149075,13153.2,4627268,95368.98,25659380,2690795,1259620,28458.02,30610.76,255198.6,247462.1,1356031,245305.6,433879,61841.9,5449094,144783.8,53561070,2135994,659336.9,19736.75,18604.9,92273.77,690618.8,420400.5,290751.7,184498.5,0,0,10172420,196235.8,50300.7,4539300,20488.78,28799.58,158221.7,36527.86,93721.23,13034.8,223459.8,9771.524,106744.8,15402.64,341265.2,13377.04,2672.188,57471.3,103109.3,87452.02,330192.3,55456.93,62651330,348606.8,30679.31,62256.06,28309.49,187763.1,82544.1,59592.05,41059.67,35475.03,19689.8,1.60E+06,1.65E+03,4.30E+04,1699754.62
MSD-24-3,Growth condition:Suspension | time (h):24 | treatment:DMSO | Sample source:Breast cancer cells,352176.6,675064.9,95594.31,168090.8,1270545,913143,1870584,742662,335450.5,9848484,205196.2,2669546,5623154,1585114,122625.6,438056.1,1227520,6978612,1917251,18697.11,4887104,83696.47,26436420,1812167,929301.7,33970.83,3930.077,167685.7,172023.4,722637.8,8305.804,325852.1,79488.16,5804942,153285.9,66997390,2351828,958229.3,24322.54,16003.01,131538.5,29775.06,259147.8,155100.4,45130.93,0,1736.282,9313215,97744.94,20702.26,4740138,16925.96,19778.29,737291.7,18699.82,55010.96,4941.315,142358.2,10008.72,50478.86,0,238926.9,15688.65,2288.025,49089.64,90518.03,66718.46,208527.2,53627.2,45581320,341902.7,40015.02,53408.77,21980.49,30945.35,50675.24,43378.44,201357.9,22817.42,2239.143,1.40E+06,1.22E+03,2.66E+04,991089.44
MA610-48-1,Growth condition:Attached | time (h):48 | treatment:10µM 68c091 | Sample source:Breast cancer cells,654242.7,3035053,80057.59,901574.2,2054559,5413148,5156172,1001607,955768.6,13073580,872871.2,3964769,7577058,3266196,512186.7,1223439,2084806,8185490,2908192,7061.157,1680216,58657.19,999616.1,132102.3,159236,20598.31,7735.033,18199.22,36829.64,341502,61749.84,74017.62,132689.3,2530544,550464.9,67580490,2263526,1001489,46326.28,33918.96,45419.02,105425.9,92343.99,29365.17,78021.3,5866.411,9312.771,15873470,4765056,127247.9,3907528,7403.965,97794.23,146495.6,8040.071,1779990,11025.87,121094.1,19002.5,31423.74,6998.846,844082.4,10332.71,10712.5,44556.92,102195.5,279534.5,188606,48294.66,22835850,332512,63494.98,58628.68,27854.01,255412.5,134859.5,51684.2,54706.83,32684.57,7260.952,NA,NA,NA,NA
MA610-48-2,Growth condition:Attached | time (h):48 | treatment:10µM 68c091 | Sample source:Breast cancer cells,926031.8,2996304,151793.7,1420653,2222004,8154010,7534916,1276218,1178181,26718200,1047203,6085816,11588010,5481708,590159.1,1887036,2878064,10684220,3836163,18430.77,922076.2,55694.88,480196.2,111041.4,116958.5,26679.16,21799.74,23188.3,60036.8,415498.9,39083.02,189424.2,246874.6,3323950,720421.8,115646400,2995663,1619032,52791.39,47762.45,47809.51,197770.2,157892.2,66753.02,28463.3,62550.37,12935.65,21807440,7714946,195659.6,6487008,4467.872,174678.6,94639.71,17984.68,3959993,15302.21,154847.5,12225.93,48564.34,4536.469,1601645,15250.06,21082.9,74097.79,148379.3,424668.3,178052.3,108276.4,35958240,496953.5,92800.54,92429.85,34956.11,80128.29,149217.7,54651.84,86150.24,47848.95,15737.27,NA,NA,NA,NA
MA610-48-3,Growth condition:Attached | time (h):48 | treatment:10µM 68c091 | Sample source:Breast cancer cells,506748,2809850,153877.1,570870.2,1202840,3585677,3550805,771127,759864.2,9635615,781609.1,2565094,4933334,5402908,316867.1,797312.8,1653907,4617492,2308726,20098.96,1844497,36008.13,993744.3,110981.2,130605.9,23865.85,7175.042,31642.97,9793.906,176374.5,23887.76,53380.44,137637,1642053,457842.2,47166680,1616697,654431.1,34034.33,19819.59,31844.94,134283.6,74828.04,7548.343,12893.28,40728.21,13288.24,10666970,1639541,68556.57,2596803,7092.878,70679.66,152315.3,8773.1,2073022,5771.763,60482.25,13071,28058.53,3038.552,457779.1,6728.701,12606.16,30164.27,107922.8,209165.1,80268.46,37356.35,22019350,300101.8,45858.89,42441.8,67748.62,61799.49,85506.59,32617.37,28681.46,21569.49,5580.775,NA,NA,NA,NA
MAA10-48-1,Growth condition:Attached | time (h):48 | treatment:10µM AT0174 | Sample source:Breast cancer cells,1166587,5678054,305220.4,857277.2,2038290,5753556,6426300,1155741,1313676,53320370,2080851,8993737,25646040,5782686,456615.5,1902119,4136059,25454860,4376276,19939.28,1682566,93407.98,1908929,275846.5,385419.1,8510.662,73367.48,40030.56,10497.73,145636,80855.95,357864.8,265560.7,3260217,909506.2,120796200,6695504,1692223,60547.73,49976.09,83903.38,300703.8,826657.9,1896205,1573900,111689.2,0,23699460,4688286,214309.2,11454510,0,89540.02,139825.6,87573.31,7214054,19470.6,449589.1,13309.75,243095.2,19322.43,4051276,20005.09,29956.58,136642,190261,277633.7,147516.6,123195.1,67913270,1060924,177369.2,131777.1,65816.86,58148.51,217100.3,142227.7,96127.13,77161.17,54697.56,NA,NA,NA,NA
MAA10-48-2,Growth condition:Attached | time (h):48 | treatment:10µM AT0174 | Sample source:Breast cancer cells,641902.1,2938714,182247.7,935176.9,1987609,6274418,6773002,1161516,997920.8,13271500,842396.5,4613478,9039563,4587818,383347.8,1282498,2027449,9857316,4198534,20409.76,1069806,46712.19,1577072,138145.6,99837.57,19820.19,18040.56,11519.59,11071.45,134064.4,17741.01,211380.1,333282.7,3029496,999685.2,97487640,2355602,1474670,61617.47,40343.28,52946.47,43723.68,131639.2,56891.03,57983.53,66310.94,13521.68,16259320,3371272,97000.53,5954796,0,122301.7,129586.7,30217.22,2607896,6284.233,150005.2,12526.68,84633.6,4023.521,997046.8,13713.89,15899.09,71344.26,230712,374811.6,175920.4,73555.72,35207950,429327.5,109244.5,80928.62,28135.22,51644.41,118628.5,46242.35,48693.47,21295.8,5489.545,NA,NA,NA,NA
MAA10-48-3,Growth condition:Attached | time (h):48 | treatment:10µM AT0174 | Sample source:Breast cancer cells,2574937,2782392,303320.7,2184276,2531393,7465674,8372460,2122936,3199926,41064620,2255654,7622240,19954430,8174862,3860717,3648382,9846337,19756270,5525470,15157.82,1290443,41154.25,1900370,210648.6,143437.1,18665.67,25899.63,98368.81,8788.053,3180290,527274.7,132394.6,194437.1,9683099,622625.3,84999880,2488792,1189446,35776,30425.97,30344.41,3142843,119681.4,45631.29,57135.94,100533.3,38435.75,14270570,4232928,124339.8,3883076,33644.42,143487.7,92591.99,51105.2,4412522,33301.75,317566.1,12240.17,137508.7,26312.91,1070688,9171.946,18417.04,53827.08,108702.4,367390.8,159105.5,67792.97,37663880,382962.6,82735.57,70648.45,26838.85,302342.6,72290.66,89033.75,52463.3,55784.81,36392.14,NA,NA,NA,NA
MAA1-48-1,Growth condition:Attached | time (h):48 | treatment:1µM AT0174 | Sample source:Breast cancer cells,757010,3126023,115661.5,826445.3,1446438,6179198,6488290,1271794,1283091,14917970,960758.3,5320330,7989398,3789389,432415.8,1261421,2062649,9600347,3370642,18541.56,1718511,38117.71,807950.8,76314.74,178505.5,15686.68,44731.08,13586.07,52311.12,521851.4,27414.41,77709.87,282619.7,2472336,588382.7,69286700,4827286,968262,44655.67,26046.66,51083.72,219102.6,109662.7,201571.8,368324.1,540221.4,41769.65,17965490,2641651,118950,4694634,6510.245,110608.9,136904.2,60895.63,254224.9,7642.816,104168.3,4682.067,197715.9,7434.17,808295.3,11629.19,52261.55,51682.8,136198.7,418142.2,206285.5,59467.93,27525290,424904.6,83301.62,76383.76,22236.49,61241.89,108169.9,65450.78,48721.08,10928.95,5477.592,NA,NA,NA,NA
MAA1-48-2,Growth condition:Attached | time (h):48 | treatment:1µM AT0174 | Sample source:Breast cancer cells,623802.2,1876375,146078.6,1509809,2773857,7972442,7311468,1260314,1117890,11938560,636625.5,3015673,4826732,3368360,642376.2,1366065,1084355,5655754,2566894,6210.637,1649981,32340.99,437089.7,102451.3,156352.5,24699.6,11280.36,18534.99,16313.73,221024.9,7759.519,72028.77,118608.5,1572763,325964.2,59054370,831168.8,850233,26669.72,17116.16,23259.33,229573.4,43705.04,4111.576,32457.9,53089.04,9255.464,12508130,2022874,87747.87,2892754,6339.038,187321.9,43788.63,51335.74,3564641,6667.921,63125.06,10461.07,133562.5,7268.544,506512.1,7006.745,23189.55,35366.09,72571.37,509008.5,99636.46,48128.51,26063660,153010.1,27267.55,36209.47,10431.53,76089.1,59914.91,47531.58,56779.3,50858.25,12603.12,NA,NA,NA,NA
MAA1-48-3,Growth condition:Attached | time (h):48 | treatment:1µM AT0174 | Sample source:Breast cancer cells,776665.7,2156490,127103.2,1224052,2352780,7609818,8530147,1258732,1304894,14963720,779978.8,4335551,6904948,3675493,577189.4,1601030,1809134,8032722,3355235,7426.59,3970653,36658.93,1495541,155325.3,293287,27034.35,8094.222,9646.93,13970.03,155457,22927.56,89273.23,205194.1,2637416,586799.4,82814650,1696383,1248120,42761.84,23498.22,37989.27,217694.1,151864.7,0,15137.98,65748.15,2998.196,15792050,1231929,118785,3367268,5236.737,162687.9,102593.4,57391.68,2345186,5844.5,99062.09,12475.21,222802.4,13479.29,696874.4,15058.87,9388.231,45165.43,113132.4,474123.2,144033.1,71138.09,30788690,286881.6,41419.51,59136.13,24630.22,65566.88,86131.96,37077.09,35942.19,26636.21,5613.873,NA,NA,NA,NA
MAD-48-1,Growth condition:Attached | time (h):48 | treatment:DMSO | Sample source:Breast cancer cells,924766,3053211,232543.3,1961486,1990453,10073120,11601080,1883108,1299919,21026290,911482.6,4658146,8499555,5029690,1134715,2582303,2661850,10235570,3552947,10104.61,1575198,36596.11,1014334,147879.3,180121.1,28305.61,12039.85,29343.77,14796.75,362748.8,50525.44,99117.12,96968.71,2587413,405760.9,63229730,962965.5,905379.5,41590.78,26504.82,20541.14,478030.1,89067.32,13566.49,27490.15,265967.5,23001.41,16197770,3884708,181341.8,3526430,10011.66,206647.2,35084.06,127206,520142.1,13068.73,116373.3,6590.981,353459.3,17201.36,817726.7,7193.938,78332.87,42427.21,65121.33,557832.2,133602.2,53279.36,28190950,136931.3,41487.8,32964.98,15501.83,109069.9,63809.73,69825.17,54428.55,49277.17,13752.78,2.66E+06,1.03E+03,1.82E+05,1921729.12
MAD-48-2,Growth condition:Attached | time (h):48 | treatment:DMSO | Sample source:Breast cancer cells,1263255,3820004,226152.8,1699001,2052621,9457431,9950763,1919669,1293925,38613020,1386140,7729352,16477630,6199550,673137,2470043,4505319,19037330,4014483,17967.3,1566431,80444.34,675675.1,159735.2,300234.4,21150.72,150409.9,29271.81,31141.26,265051.4,32597.76,167397.4,193218.6,2384773,758402.5,113899700,6326522,1515523,58697.86,69546.43,61124.39,172195.9,281959.8,151686.8,194092.7,459963.1,41059.99,25910260,4032778,253719.5,8706005,14128.05,184645.5,96456.77,272875.3,833862.2,13995.82,268536.7,10942.36,860223.3,26525.59,1673380,19628.54,33821.54,91208.02,232191.5,489979.8,160345.6,122995.2,47535850,638939,131671.5,111507.3,48958.31,71835.93,160076.8,135850.2,104963.2,49928.66,13630.33,5.28E+06,5.26E+02,3.02E+05,3887003.75
MAD-48-3,Growth condition:Attached | time (h):48 | treatment:DMSO | Sample source:Breast cancer cells,1006672,3409159,148741.6,1538235,2204120,8602405,10145630,1756147,1132030,23313930,987804,5839068,10657200,5037514,746629.5,2210440,2172737,10772230,3538234,15007.38,525120.1,68384.7,621396.3,111142.6,115333.2,26388.59,48977.62,25521.31,47419.03,336877.5,42510.21,104507.1,120841.1,2004422,455022.8,88426700,1860704,1193932,52537.45,30887.13,36803.05,206087,111424,49079.32,115523.5,453470.3,37442.19,19221750,5082840,188934.4,4795572,7271.523,214031.4,71229.19,173682.8,594714.6,9084.928,118953,2333.654,509803.5,21275.11,1042429,8569.786,49844.56,55301.46,110339.2,487386,172390,68542.91,34416910,352709.3,115045.6,67996.49,22495.05,104014.2,98490.41,97567.75,104199.1,47447.3,13172.81,2.99E+06,1.16E+03,2.25E+05,2573766.25
MS610-48-1,Growth condition:Suspension | time (h):48 | treatment:10µM 68c091 | Sample source:Breast cancer cells,2374593,2698805,281100.7,1474217,2073976,10223520,12359460,2846777,1875917,50001070,1141192,13538480,20612260,9140078,980658.6,3703267,3831725,24238870,6393526,23261.74,492978.8,57305.08,440195.6,103611.8,112696.7,25677.97,346814.5,22901.4,52384.19,162248.9,105351,2834625,461994.8,4338778,1212454,117640800,27030390,1611672,220741.2,100342.4,108881.5,480140.8,496501.7,102721.1,101839,117549.6,39853.5,36679290,11992130,392817,11103500,13936.3,181943.3,220833.9,20683.79,4421524,13906.75,349579.5,47244.52,62106.22,7243.695,1727457,22409.59,28782.78,133978.4,358805.2,403181,157530.8,255085.9,57553520,1208921,270436.3,176056.2,133191.5,136778.4,276846.7,153130.7,126390.4,29366.34,5203.163,7.70E+06,1.42E+03,8.25E+04,888730.81
